"store","websites","attribute_set","type","sku","category_ids","has_options","name","meta_title","meta_description","url_key","options_container","image_label","small_image_label","thumbnail_label","gift_message_available","bo_author","bo_ISBN","bo_binding","bo_isbn10","bo_language","bo_no_pg","bo_dimension","bo_illustrator","bo_edition","bo_rating","url_path","price","weight","description","short_description","meta_keyword","custom_layout_update","bo_publisher","bo_pu_date","status","tax_class_id","visibility","enable_googlecheckout","bo_int_shipping","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_automatically","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","image","small_image","thumbnail","custom_design","page_layout"
"admin","base","book","simple","014018001X",17,0,"Writings on Irish Folklore, Legend, and Myth",,,"writings-on-irish-folklore-legend-and-myth","Block after Info Column",,,,"Use config","Yeats, William Butler (Author)","014018001X","B-Trade Pbk","014018001X","English",496,,,,,"the-fellowship-of-the-ring.html",13,0.65,"Writings on Irish Folklore, Legend, and Myth","Writings on Irish Folklore, Legend, and Myth",,,"penguin",26/02/02 00:00,"Enabled","None","Catalog, Search","Yes",1,11,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,"Writings on Irish Folklore, Legend, and Myth",0,"simple",,,"/cover/014018001X.jpg","/cover/014018001X.jpg","/cover/014018001X.jpg",,
"admin","base","book","simple",140183167,17,0,"The Jungle Books",,,"the-jungle-books","Block after Info Column",,,,"Use config","Kipling, Rudyard (Author); Karlin, Daniel (Editor/introduction)",140183167,"B-Trade Pbk",140183167,"English",384,,,,,"writings-on-irish-folklore-legend-and-myth.html",10,0.63,"The Jungle Books","The Jungle Books",,,"penguin",02/01/90 00:00,"Enabled","None","Catalog, Search","Yes",1,11,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,"The Jungle Books",0,"simple",,,"/cover/0140183167.jpg","/cover/0140183167.jpg","/cover/0140183167.jpg",,
"admin","base","book","simple",140189378,17,0,"Seize the Day",,,"seize-the-day","Block after Info Column",,,,"Use config","Bellow, Saul (Author); Ozick, Cynthia (Introduction by)",140189378,"B-Trade Pbk",140189378,"English",144,,,,,"the-jungle-books.html",12,0.25,"Seize the Day","Seize the Day",,,"penguin",03/01/96 00:00,"Enabled","None","Catalog, Search","Yes",1,11,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,"Seize the Day",0,"simple",,,"/cover/0140189378.jpg","/cover/0140189378.jpg","/cover/0140189378.jpg",,
"admin","base","book","simple",140287078,17,0,"Some of the Dharma",,,"some-of-the-dharma","Block after Info Column",,,,"Use config","Kerouac, Jack (Author)",140287078,"B-Trade Pbk",140287078,"English",432,,,,,"seize-the-day.html",30,2.2,"Some of the Dharma","Some of the Dharma",,,"penguin",11/01/99 00:00,"Enabled","None","Catalog, Search","Yes",1,11,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,"Some of the Dharma",0,"simple",,,"/cover/0140287078.jpg","/cover/0140287078.jpg","/cover/0140287078.jpg",,
"admin","base","book","simple","014039012X",4,0,"Narrative of the Life of Frederick Douglass, An American Slave",,,"narrative-of-the-life-of-frederick-douglass-an-american-slave","Block after Info Column",,,,"Use config","Douglass, Frederick (Author); Baker, Houston A. (Editor/introduction); Garrison, William Lloyd (Preface by)","014039012X","B-Trade Pbk","014039012X","English",160,,,,,"some-of-the-dharma.html",11,0.28,"Narrative of the Life of Frederick Douglass, An American Slave","Narrative of the Life of Frederick Douglass, An American Slave",,,"penguin",26/08/82 00:00,"Enabled","None","Catalog, Search","Yes",1,11,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,"Narrative of the Life of Frederick Douglass, An American Slave",0,"simple",,,"/cover/014039012X.jpg","/cover/014039012X.jpg","/cover/014039012X.jpg",,
"admin","base","book","simple",140390227,17,0,"The Awakening and Selected Stories",,,"the-awakening-and-selected-stories","Block after Info Column",,,,"Use config","Chopin, Kate (Author); Gilbert, Sandra (Editor/introduction)",140390227,"B-Trade Pbk",140390227,"English",288,,,,,"narrative-of-the-life-of-frederick-douglass-an-american-slave.html",7.95,0.43,"The Awakening and Selected Stories","The Awakening and Selected Stories",,,"penguin",05/01/84 00:00,"Enabled","None","Catalog, Search","Yes",1,11,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,"The Awakening and Selected Stories",0,"simple",,,"/cover/0140390227.jpg","/cover/0140390227.jpg","/cover/0140390227.jpg",,
"admin","base","book","simple",140390464,17,0,"The Adventures of Huckleberry Finn",,,"the-adventures-of-huckleberry-finn","Block after Info Column",,,,"Use config","Twain, Mark (Author); Seelye, John (Editor/introduction)",140390464,"B-Trade Pbk",140390464,"English",368,,,,,"the-awakening-and-selected-stories.html",5.95,0.4,"The Adventures of Huckleberry Finn","The Adventures of Huckleberry Finn",,,"penguin",01/07/86 00:00,"Enabled","None","Catalog, Search","Yes",1,11,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,"The Adventures of Huckleberry Finn",0,"simple",,,"/cover/0140390464.jpg","/cover/0140390464.jpg","/cover/0140390464.jpg",,
"admin","base","book","simple",140390839,17,0,"The Adventures of Tom Sawyer",,,"the-adventures-of-tom-sawyer","Block after Info Column",,,,"Use config","Twain, Mark (Author); Seelye, John (Introduction by)",140390839,"B-Trade Pbk",140390839,"English",256,,,,,"the-adventures-of-huckleberry-finn.html",7,0.4,"The Adventures of Tom Sawyer","The Adventures of Tom Sawyer",,,"penguin",10/07/86 00:00,"Enabled","None","Catalog, Search","Yes",1,11,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,"The Adventures of Tom Sawyer",0,"simple",,,"/cover/0140390839.jpg","/cover/0140390839.jpg","/cover/0140390839.jpg",,
"admin","base","book","simple",140423664,17,0,"The Complete Poems",,,"the-complete-poems","Block after Info Column",,,,"Use config","Rossetti, Christina (Author); Flowers, Betty (Editor/introduction)",140423664,"B-Trade Pbk",140423664,"English",1312,,,,,"the-adventures-of-tom-sawyer.html",20,1.88,"The Complete Poems","The Complete Poems",,,"penguin",11/01/01 00:00,"Enabled","None","Catalog, Search","Yes",1,11,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,"The Complete Poems",0,"simple",,,"/cover/0140423664.jpg","/cover/0140423664.jpg","/cover/0140423664.jpg",,
"admin","base","book","simple",140424245,17,0,"Selected Poems",,,"selected-poems","Block after Info Column",,,,"Use config","Ronsard, Pierre (Author); Quainton, Malcolm (Translator); Vinestock, Elizabeth (Translator)",140424245,"B-Trade Pbk",140424245,"English",384,,,,,"the-complete-poems.html",16,0.55,"Selected Poems","Selected Poems",,,"penguin",29/10/02 00:00,"Enabled","None","Catalog, Search","Yes",1,11,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,"Selected Poems",0,"simple",,,"/cover/0140424245.jpg","/cover/0140424245.jpg","/cover/0140424245.jpg",,
