#ISBN   #PRICE   #IMPRINT   #TITLE   #AUTHOR   #Description
9780028615974   12.95   ALPHA   PENGUIN USA      OUT OF PRINT          BCK OP
9780028617350   10.95   ALPHA   PENGUIN USA   Medley, Anthony   OUT OF PRINT          BCK OP
9780028624082   10.95   ALPHA   PENGUIN USA   Gordon, Marsha   OUT OF PRINT          BCK OP
9780028632025   10.95   ALPHA   PENGUIN USA   Shelia Lowe   OUT OF PRINT          BCK OP
9780028633688   10.95   ALPHA   PENGUIN USA      OUT OF PRINT          BCK OP
9780028633701   12.95   ALPHA   PENGUIN USA      OUT OF PRINT          BCK OP
9780028636153   10.95   ALPHA   PENGUIN USA   Mitchell, Mary   OUT OF PRINT          BCK OP
9780028639536   10.95   ALPHA   PENGUIN USA      OUT OF PRINT          BCK OP
9780028639772   12.95   ALPHA   PENGUIN USA   Margrave, Adele   OUT OF PRINT          BCK OP
9780028639871   6   ALPHA   PENGUIN USA   Baker, Sunny   OUT OF PRINT          BCK OP
9780028641386   14.95   ALPHA   PENGUIN USA   Scott Barrie   OUT OF PRINT          BCK OP
9780028641683   14.95   ALPHA   PENGUIN USA   Cannon, Howard   OUT OF PRINT          BCK OP
9780028641829   10.95   ALPHA   PENGUIN USA   Wolff, Patrick   OUT OF PRINT          BCK OP
9780028642109   14.95   ALPHA   PENGUIN USA   Bly, Robert   OUT OF PRINT          BCK OP
9780028642710   12.95   ALPHA   PENGUIN USA      OUT OF PRINT          BCK OP
9780028642741   6.95   ALPHA   PENGUIN USA   Grimbol, William   OUT OF PRINT          BCK OP
9780028643854   14.95   ALPHA   PENGUIN USA   Beale, Lucy   OUT OF PRINT          BCK OP
9780028643878   12.95   ALPHA   PENGUIN USA   Stensvold, Mike   OUT OF PRINT          BCK OP
9780028644240   12.95   ALPHA   PENGUIN USA      OUT OF PRINT          BCK OP
9780028644394   10.95   ALPHA   PENGUIN USA   Epstein, Lita   OUT OF PRINT          BCK OP
9780028644530   14.95   ALPHA   PENGUIN USA   Greenberg, Steven   OUT OF PRINT          BCK OP
9780091889487   5.6   TRANSWORLD   TRANSWORLD   Dr. Atkins   NO LONGER DIST            NLD
9780123093509   1199   A & C BLACK   BLOOMSBURY   Sing, Raj & Gurung, K K   OUT OF PRINT          BCK OP
9780131243064   15   PRENTICE HALL   PENGUIN USA   Zipf, Robert   NO RIGHTS             BCK NR
9780131776012   35   PRENTICE HALL   PENGUIN USA   Weiss, David   OUT OF PRINT          BCK OP
9780131872912   18.95   DUTTON   PENGUIN USA   Gamow, George   OUT OF PRINT          BCK OP
9780132341707   14.95   PRENTICE HALL   PENGUIN USA   Albright, Mary   NO RIGHTS             BCK NR
9780132923934   16   PENGUIN   PENGUIN USA   Falk, Edgar   OUT OF PRINT          BCK OP
9780133122329   21   PRENTICE HALL   PENGUIN USA   Shim, Jae K.   OUT OF PRINT          BCK OP
9780133865738   6.95   PENGUIN   PENGUIN USA   Manning, Al G.   OUT OF PRINT          BCK OP
9780134008882   15   PENGUIN   PENGUIN USA   Walker, Joseph   OUT OF PRINT          BCK OP
9780134597775   20   PRENTICE HALL   PENGUIN USA   Tanzer, Milt   OUT OF PRINT          BCK OP
9780135206515   10.95   PRENTICE HALL   PENGUIN USA   Toropov, Brandon   OUT OF PRINT          BCK OP
9780138397210   15   PRENTICE HALL   PENGUIN USA   Fredman, Albert J.   OUT OF PRINT          BCK OP
9780138983703   23   VIKING   PENGUIN USA      OUT OF PRINT          BCK OP
9780140001112   3.25   PENGUIN   PENGUIN UK   Conan Doyle, Arthur   OUT OF PRINT          BCK OP
9780140003185   6.3   PENGUIN   PENGUIN UK   Graves, Robert   OUT OF PRINT          BCK OP
9780140004212   6.3   PENGUIN   PENGUIN UK   Graves, Robert   OUT OF PRINT          BCK OP
9780140004427   3.99   PENGUIN   PENGUIN UK   Greene, Graham   NO RIGHTS             BCK NR
9780140006681   3.25   PENG TCC CLASSICS   PENGUIN UK   Lawernce, D H   OUT OF PRINT          BCK OP
9780140008050   2.5   PENGUIN   PENGUIN UK   Conan Doyle, Arthur   OUT OF PRINT          BCK OP
9780140009088   3   PENGUIN   PENGUIN UK   Buchan, John   OUT OF PRINT          BCK OP
9780140009361   4.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140009378   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140009712   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140009842   5.6   PENGUIN   PENGUIN UK   Mitford, Nancy   OUT OF PRINT          BCK OP
9780140009859   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140009866   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140009941   0   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140009958   4.2   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140010251   5.99   PENGUIN   PENGUIN UK   Graves, Robert   OUT OF PRINT          BCK OP
9780140011128   2.99   PENGUIN   PENGUIN UK   Forester, C S   OUT OF PRINT          BCK OP
9780140011319   3   PENGUIN   PENGUIN UK   Buchan, John   OUT OF PRINT          BCK OP
9780140011326   3   PENGUIN   PENGUIN UK   Buchan, John   OUT OF PRINT          BCK OP
9780140011708   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140011722   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140011814   6.99   PENGUIN   PENGUIN UK   Mitford, Nancy   OUT OF PRINT          BCK OP
9780140011920   3.99   PENGUIN   PENGUIN UK   Sagan, Francoise   OUT OF PRINT          BCK OP
9780140012118   4.99   PENGUIN   PENGUIN UK   Mitford, N   OUT OF PRINT          BCK OP
9780140012729   2.25   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140012736   4.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140013719   2.25   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140013856   3.99   PENGUIN   PENGUIN UK   Wyndham, John   OUT OF PRINT          BCK OP
9780140013870   6.99   PENGUIN   PENGUIN UK   Carroll, Lewis   OUT OF PRINT          BCK OP
9780140014181   1.99   PENGUIN   PENGUIN UK      OUT OF PRINT          BCK OP
9780140014457   5.6   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140014624   3.99   PENGUIN   PENGUIN UK   Read, Miss   OUT OF PRINT          BCK OP
9780140014747   5.6   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140015584   2.5   PENGUIN   PENGUIN UK   Cash, Alan   OUT OF PRINT          BCK OP
9780140015997   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140016017   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140016024   4.99   PENGUIN   PENGUIN UK   Bates, H E   OUT OF PRINT          BCK OP
9780140016529   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140016888   4.5   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140017151   5.99   PENGUIN   PENGUIN UK   Huxley , E   NO RIGHTS             BCK NR
9780140017168   5.6   PENGUIN   PENGUIN UK   Van Der Post   OUT OF PRINT          BCK OP
9780140017441   2.5   PENGUIN   PENGUIN UK      OUT OF PRINT          BCK OP
9780140017700   4.5   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140017724   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140017908   3.99   PENGUIN   PENGUIN UK   Greene, Graham   NO RIGHTS             BCK NR
9780140017915   4.5   PENGUIN   PENGUIN UK   Greene, Graham   OUT OF PRINT          BCK OP
9780140018189   3   PENGUIN   PENGUIN UK   Read, Miss   OUT OF PRINT          BCK OP
9780140018486   4.2   PENGUIN   PENGUIN UK   Amis, Kingsley   NO RIGHTS             BCK NR
9780140018905   4.2   PENGUIN   PENGUIN UK   Durrell, Gerald   OUT OF PRINT          BCK OP
9780140019094   3.99   PENGUIN   PENGUIN UK   Spark, Muriel   OUT OF PRINT          BCK OP
9780140019117   4   PENGUIN   PENGUIN UK   Spark, Muriel   OUT OF PRINT          BCK OP
9780140019445   4.2   PENGUIN   PENGUIN UK   Gallico, Paul   OUT OF PRINT          BCK OP
9780140019766   5.6   PENGUIN   PENGUIN UK   Mitford, Nancy   OUT OF PRINT          BCK OP
9780140020038   4.5   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140020465   2.25   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140020472   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140020496   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140020557   1.5   PENGUIN   PENGUIN UK   Rcaf   NO RIGHTS             BCK NR
9780140020830   4.2   PENGUIN   PENGUIN UK   Durrell, Gerald   OUT OF PRINT          BCK OP
9780140021080   4.99   PENGUIN   PENGUIN UK   O'Brien, E   OUT OF PRINT          BCK OP
9780140021516   3   PENGUIN   PENGUIN UK   Galico, Paul   OUT OF PRINT          BCK OP
9780140021547   4.5   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140021561   4.99   PENGUIN   PENGUIN UK   Naipaul, V S   OUT OF PRINT          BCK OP
9780140022049   4.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140022056   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140022315   4.99   PENGUIN   PENGUIN UK   Wyndham, John   OUT OF PRINT          BCK OP
9780140022650   4.99   PENGUIN   PENGUIN UK   Verne, Jules   OUT OF PRINT          BCK OP
9780140024036   2.99   PENGUIN   PENGUIN UK   Du Maurier, Daphne   OUT OF PRINT          BCK OP
9780140024760   4.99   PENGUIN CLASSICS   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140024791   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140025224   2.99   PENGUIN   PENGUIN UK   Durrell, Gerald   OUT OF PRINT          BCK OP
9780140025323   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   OUT OF PRINT          BCK OP
9780140025477   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140025590   4.5   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140025682   4.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140025699   4.2   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140025705   2.25   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
0140025927   3.99   PENGUIN   PENGUIN UK   Mcmillan, Terry   NOT AVL FOR BILLING   BCK NAB
9780140026498   4.99   PENGUIN   PENGUIN UK   O'Brien, E   OUT OF PRINT          BCK OP
9780140026818   3.99   PENGUIN   PENGUIN UK   Gallico, Paul   OUT OF PRINT          BCK OP
9780140027266   3.25   PENGUIN   PENGUIN UK      OUT OF PRINT          BCK OP
9780140027457   4.5   PENGUIN   PENGUIN UK   Spark, Muriel   NO RIGHTS             BCK NR
9780140027563   4.99   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140027686   299   PENGUIN   PENGUIN UK   Berne, Eric   OUT OF PRINT          BCK OP
9780140028249   6.3   PENGUIN   PENGUIN UK   Malcolm X   OUT OF PRINT          BCK OP
9780140028430   3.99   PENGUIN   PENGUIN UK   Updike, John   OUT OF PRINT          BCK OP
9780140028447   4.2   PENGUIN   PENGUIN UK   Updike, John   OUT OF PRINT          BCK OP
9780140028843   4   PENGUIN   PENGUIN UK   Amis, Kingsley   OUT OF PRINT          BCK OP
9780140028959   200   PENGUIN   PENGUIN INDIA   Naipaul, V. S.   OUT OF PRINT          BCK OP
0140028951   4.99   PENGUIN   PENGUIN UK   Naipaul, V S   OUT OF PRINT          BCK OP
9780140029208   4.99   PENGUIN   PENGUIN UK   Naipaul, V S   OUT OF PRINT          BCK OP
9780140029383   3.99   PENGUIN   PENGUIN UK   Naipaul, V S   OUT OF PRINT          BCK OP
9780140029406   3.99   PENGUIN   PENGUIN UK   Naipaul, V S   OUT OF PRINT          BCK OP
9780140029444   5.6   PENGUIN   PENGUIN UK   Updike, John   OUT OF PRINT          BCK OP
9780140030075   3   PENGUIN   PENGUIN UK   Read, Miss   OUT OF PRINT          BCK OP
9780140030259   0   PENGUIN   PENGUIN INDIA   Naipaul, V.S.   OUT OF PRINT          BCK OP
0140030255   4.99   PENGUIN   PENGUIN UK   Naipaul, V S   NOT AVL FOR BILLING   BCK NAB
9780140030341   4.5   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140031218   5.6   PENGUIN   PENGUIN UK   Wyndham, John   OUT OF PRINT          BCK OP
9780140031768   4.5   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
0140031961   2.99   PENGUIN CLASSICS   PENGUIN UK   Milligan, Spike   NOT AVL FOR BILLING   BCK NAB
9780140032079   4.2   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140032147   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140032192   4   PENGUIN   PENGUIN UK   Burgess, Anthony   OUT OF PRINT          BCK OP
9780140032291   4.5   PENGUIN   PENGUIN UK   Solzhenitsyn, Alexander   OUT OF PRINT          BCK OP
9780140032789   3.99   PENGUIN   PENGUIN UK   Greene, Graham   OUT OF PRINT          BCK OP
9780140033021   4.99   PENGUIN   PENGUIN UK   Naipaul, V S   OUT OF PRINT          BCK OP
9780140033175   4.99   PENGUIN   PENGUIN UK   Drabble, Margaret   OUT OF PRINT          BCK OP
9780140033304   5.6   PENGUIN   PENGUIN UK   Potok, C   OUT OF PRINT          BCK OP
9780140033328   4.5   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140033519   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140033526   4.2   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140034394   3   PENGUIN   PENGUIN UK   Read, Miss   OUT OF PRINT          BCK OP
0140034479   0   PENGUIN   PENGUIN UK   Theroux, Paul   OUT OF PRINT          BCK OP
9780140034646   5.6   PENGUIN   PENGUIN UK   Spark, Muriel   OUT OF PRINT          BCK OP
9780140036022   4   PENGUIN   PENGUIN UK   Highsmith, Patricia   OUT OF PRINT          BCK OP
9780140036114   4.99   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140036411   5.99   PENGUIN   PENGUIN UK   Naipaul, V S   OUT OF PRINT          BCK OP
9780140036572   4.99   PENGUIN   PENGUIN UK   Berne, Eric   OUT OF PRINT          BCK OP
9780140036794   4.2   PENGUIN   PENGUIN UK   Mikes George   OUT OF PRINT          BCK OP
9780140037111   5.6   PENGUIN   PENGUIN UK   Naipaul, V S   OUT OF PRINT          BCK OP
9780140037128   2.99   PENGUIN   PENGUIN UK   Naipaul, V S   OUT OF PRINT          BCK OP
9780140037784   395   PENGUIN   PENGUIN UK   Highsmith, Patricia   OUT OF PRINT          BCK OP
9780140037968   2.99   PENGUIN   PENGUIN UK   Highsmith, Patricia   NO RIGHTS             BCK NR
9780140038354   4.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140038361   2.25   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140038408   5.6   PENGUIN   PENGUIN UK   Renault, M   OUT OF PRINT          BCK OP
9780140038507   4.99   PENGUIN   PENGUIN UK   James, P D   OUT OF PRINT          BCK OP
